text,label,confidence,reason,needs_review
ばかそんなこともわからないの,1,1.0,punctuation_stripped_augmentation,False
また同じミスしたんださすがだね,1,1.0,punctuation_stripped_augmentation,False
資料ありがとうございます助かりました,0,1.0,punctuation_stripped_augmentation,False
一応やってはみたけどまあ期待はしてなかった,1,1.0,punctuation_stripped_augmentation,False
これくらい常識でしょ普通わかるよね,1,1.0,punctuation_stripped_augmentation,False
手伝ってくれてありがとうすごく助かった,0,1.0,punctuation_stripped_augmentation,False
次までにやっておけよできなかったら分かってるよな,1,1.0,punctuation_stripped_augmentation,False
体調どうですか無理しないでくださいね,0,1.0,punctuation_stripped_augmentation,False
使えないやつだなもう頼まない,1,1.0,punctuation_stripped_augmentation,False
黙ってろよお前の意見なんか誰も聞いてない,1,1.0,punctuation_stripped_augmentation,False
これ小学生でもできるよ,1,1.0,punctuation_stripped_augmentation,False
何回言ったらわかるの頭大丈夫,1,1.0,punctuation_stripped_augmentation,False
本当に助かりました感謝しています,0,1.0,punctuation_stripped_augmentation,False
その程度のこともできないの笑える,1,1.0,punctuation_stripped_augmentation,False
おつかれさまでしたまた明日,0,1.0,punctuation_stripped_augmentation,False
何度も同じこと聞かないでよ迷惑なんだけど,1,1.0,punctuation_stripped_augmentation,False
さすがですね勉強になります,0,1.0,punctuation_stripped_augmentation,False
努力の方向間違ってるよ無駄無駄,1,1.0,punctuation_stripped_augmentation,False
提出期限を過ぎているようです確認お願いします,0,1.0,punctuation_stripped_augmentation,False
発表準備ありがとうございましたとても分かりやすかったです,0,1.0,punctuation_stripped_augmentation,False
自分の頭で考えたらいちいち聞くなよ,1,1.0,punctuation_stripped_augmentation,False
どうしていつもそうなのうんざりする,1,1.0,punctuation_stripped_augmentation,False
何回教えても覚えないよね才能ないんじゃない,1,1.0,punctuation_stripped_augmentation,False
承知いたしました対応します,0,1.0,punctuation_stripped_augmentation,False
その意見はちょっと違うと思う笑,1,1.0,punctuation_stripped_augmentation,False
出張から戻りましたお土産です,0,1.0,punctuation_stripped_augmentation,False
言われた通りにできないのそれくらい普通でしょ,1,1.0,punctuation_stripped_augmentation,False
先週の資料修正しましたご確認ください,0,1.0,punctuation_stripped_augmentation,False
その意見的外れすぎて笑える,1,1.0,punctuation_stripped_augmentation,False
サポートありがとうございました助かりました,0,1.0,punctuation_stripped_augmentation,False
何回言えばわかるの頭の中お花畑,1,1.0,punctuation_stripped_augmentation,False
面白い提案ですね検討します,0,1.0,punctuation_stripped_augmentation,False
それしかできないの恥ずかしくないの,1,1.0,punctuation_stripped_augmentation,False
その発想なかったわすごいね,0,1.0,punctuation_stripped_augmentation,False
最近顔つき変わった,1,1.0,punctuation_stripped_augmentation,False
痩せた前と違う感じ,1,1.0,punctuation_stripped_augmentation,False
声変わった老けた,1,1.0,punctuation_stripped_augmentation,False
気持ち伝わったよありがとう,0,1.0,punctuation_stripped_augmentation,False
また忘れたのさすがだね,1,1.0,punctuation_stripped_augmentation,False
今回も遅刻いつも通りだね,1,1.0,punctuation_stripped_augmentation,False
その発言また空気読めてないね,1,1.0,punctuation_stripped_augmentation,False
その説明余計わかりにくくなったね,1,1.0,punctuation_stripped_augmentation,False
また同じ質問成長しないね,1,1.0,punctuation_stripped_augmentation,False
その資料雑だね,1,1.0,punctuation_stripped_augmentation,False
その判断また失敗しそうだね,1,1.0,punctuation_stripped_augmentation,False
その意見誰も求めてないね,1,1.0,punctuation_stripped_augmentation,False
その言い訳苦しいね,1,1.0,punctuation_stripped_augmentation,False
その態度感じ悪いね,1,1.0,punctuation_stripped_augmentation,False
またミスか器用だね,1,1.0,punctuation_stripped_augmentation,False
その考え方浅いね,1,1.0,punctuation_stripped_augmentation,False
その反応鈍いね,1,1.0,punctuation_stripped_augmentation,False
その発想ズレてるね,1,1.0,punctuation_stripped_augmentation,False
その仕事ぶり雑だね,1,1.0,punctuation_stripped_augmentation,False
また同じ失敗学習しないね,1,1.0,punctuation_stripped_augmentation,False
その説明下手だね,1,1.0,punctuation_stripped_augmentation,False
その姿勢やる気なさそうだね,1,1.0,punctuation_stripped_augmentation,False
また遅れてる余裕だね,1,1.0,punctuation_stripped_augmentation,False
その対応冷たいね,1,1.0,punctuation_stripped_augmentation,False
その話つまらないね,1,1.0,punctuation_stripped_augmentation,False
またサボってたの暇だね,1,1.0,punctuation_stripped_augmentation,False
その考え浅はかだね,1,1.0,punctuation_stripped_augmentation,False
その動き鈍臭いね,1,1.0,punctuation_stripped_augmentation,False
また文句だけ楽そうだね,1,1.0,punctuation_stripped_augmentation,False
その仕事遅すぎるね,1,1.0,punctuation_stripped_augmentation,False
その態度子供っぽいね,1,1.0,punctuation_stripped_augmentation,False
その発言無神経だね,1,1.0,punctuation_stripped_augmentation,False
また逃げるの慣れてるね,1,1.0,punctuation_stripped_augmentation,False
その説明意味不明だね,1,1.0,punctuation_stripped_augmentation,False
その仕事ぶり期待できないね,1,1.0,punctuation_stripped_augmentation,False
最近ちょっとふっくらした,1,1.0,punctuation_stripped_augmentation,False
その服前より小さく見えるね,1,1.0,punctuation_stripped_augmentation,False
顔色悪くないちゃんと寝てる,1,1.0,punctuation_stripped_augmentation,False
前よりお腹出てない,1,1.0,punctuation_stripped_augmentation,False
頬がこけてない,1,1.0,punctuation_stripped_augmentation,False
その服似合ってないと思うよ,1,1.0,punctuation_stripped_augmentation,False
その髪型老けて見えるよ,1,1.0,punctuation_stripped_augmentation,False
顔にニキビ増えてない,1,1.0,punctuation_stripped_augmentation,False
その体型維持できてるの,1,1.0,punctuation_stripped_augmentation,False
お腹周り気にしてる,1,1.0,punctuation_stripped_augmentation,False
その靴サイズ変えたの,1,1.0,punctuation_stripped_augmentation,False
なんか肌荒れてない,1,1.0,punctuation_stripped_augmentation,False
顔つき変わったよね心配,1,1.0,punctuation_stripped_augmentation,False
その体重で健康なの,1,1.0,punctuation_stripped_augmentation,False
その服パツパツじゃない,1,1.0,punctuation_stripped_augmentation,False
髪型老けて見えるよ,1,1.0,punctuation_stripped_augmentation,False
なんか肌つやなくない,1,1.0,punctuation_stripped_augmentation,False
その姿勢老けて見えるよ,1,1.0,punctuation_stripped_augmentation,False
なんか顔色悪いよ大丈夫,1,1.0,punctuation_stripped_augmentation,False
その体型自己管理できてないよね,1,1.0,punctuation_stripped_augmentation,False
最近運動してないでしょ見た目でわかる,1,1.0,punctuation_stripped_augmentation,False
髪型変えたんだね似合ってる,0,1.0,punctuation_stripped_augmentation,False
日焼けしたね旅行行ったの,0,1.0,punctuation_stripped_augmentation,False
新しい服買ったんだ素敵だね,0,1.0,punctuation_stripped_augmentation,False
髪切ったんだねさっぱりしたね,0,1.0,punctuation_stripped_augmentation,False
顔色良くなったね体調戻った,0,1.0,punctuation_stripped_augmentation,False
筋トレしてるんだね体つきいいね,0,1.0,punctuation_stripped_augmentation,False
髪伸びたね印象変わった,0,1.0,punctuation_stripped_augmentation,False
マラソン始めたんだね体締まってきたね,0,1.0,punctuation_stripped_augmentation,False
スキンケア変えたの効果出てるね,0,1.0,punctuation_stripped_augmentation,False
姿勢良くなったね意識してるの,0,1.0,punctuation_stripped_augmentation,False
その資格勉強努力すごいね,0,1.0,punctuation_stripped_augmentation,False
お上手な言い訳ですね次も期待しています,1,1.0,punctuation_stripped_augmentation,False
本当に大人ですか,1,1.0,punctuation_stripped_augmentation,False
そんなにのんびりしていて悩みがなくて幸せですね,0,1.0,punctuation_stripped_augmentation,False
その服のセンス独特だね,1,1.0,punctuation_stripped_augmentation,False
その組み合わせ思い切ったね,1,1.0,punctuation_stripped_augmentation,False
その服時代遅れじゃない,1,1.0,punctuation_stripped_augmentation,False
その髪型と服合ってなくない,1,1.0,punctuation_stripped_augmentation,False
訛りすごいね田舎者って感じ,1,1.0,punctuation_stripped_augmentation,False
その喋り方田舎くさいよね,1,1.0,punctuation_stripped_augmentation,False
その写真盛れてなくない,1,1.0,punctuation_stripped_augmentation,False
その角度正直微妙だね,1,1.0,punctuation_stripped_augmentation,False
その服装季節感あっていいね,0,1.0,punctuation_stripped_augmentation,False
その方言かわいいね好き,0,1.0,punctuation_stripped_augmentation,False
この角度いい表情だね,0,1.0,punctuation_stripped_augmentation,False
その写真雰囲気良く撮れてるね,0,1.0,punctuation_stripped_augmentation,False
とても丁寧に何度も同じミスを繰り返しますね,1,1.0,punctuation_stripped_augmentation,False
お仕事がとても丁寧でいつまでも終わらないですね,1,1.0,punctuation_stripped_augmentation,False
さぞ大変な準備だったでしょうねお疲れ様です,0,1.0,punctuation_stripped_augmentation,False
その服勇気あるね,1,1.0,punctuation_stripped_augmentation,False
その組み合わせ攻めてるね,1,1.0,punctuation_stripped_augmentation,False
その柄目立つね,1,1.0,punctuation_stripped_augmentation,False
その色使い独特だね,1,1.0,punctuation_stripped_augmentation,False
その服装話題になりそうだね,1,1.0,punctuation_stripped_augmentation,False
その靴思い切ったね,1,1.0,punctuation_stripped_augmentation,False
そのコーディネート斬新すぎない,1,1.0,punctuation_stripped_augmentation,False
その服誰かに借りたの,1,1.0,punctuation_stripped_augmentation,False
その柄目がチカチカする,1,1.0,punctuation_stripped_augmentation,False
その服洗濯機で事故ったの,1,1.0,punctuation_stripped_augmentation,False
その組み合わせ色覚検査みたい,1,1.0,punctuation_stripped_augmentation,False
その服寝間着かと思った,1,1.0,punctuation_stripped_augmentation,False
その靴サイズ間違えてない,1,1.0,punctuation_stripped_augmentation,False
その服リサイクルショップの見切り品みたい,1,1.0,punctuation_stripped_augmentation,False
その帽子なんの罰ゲーム,1,1.0,punctuation_stripped_augmentation,False
その服逆に清々しいね,1,1.0,punctuation_stripped_augmentation,False
その柄酔いそう,1,1.0,punctuation_stripped_augmentation,False
その服誰も注意しなかったの,1,1.0,punctuation_stripped_augmentation,False
そのファッション勇者だね,1,1.0,punctuation_stripped_augmentation,False
その服目立ちたいだけでしょ,1,1.0,punctuation_stripped_augmentation,False
その靴コスプレかと思った,1,1.0,punctuation_stripped_augmentation,False
その服のセンス誰も止めなかったの,1,1.0,punctuation_stripped_augmentation,False
その組み合わせ色弱テストみたい,1,1.0,punctuation_stripped_augmentation,False
その服来る前に鏡見た,1,1.0,punctuation_stripped_augmentation,False
その服センスいいね,0,1.0,punctuation_stripped_augmentation,False
その組み合わせおしゃれだね,0,1.0,punctuation_stripped_augmentation,False
その柄素敵だね,0,1.0,punctuation_stripped_augmentation,False
その色使い上品だね,0,1.0,punctuation_stripped_augmentation,False
その服装季節感あるね,0,1.0,punctuation_stripped_augmentation,False
その靴かっこいいね,0,1.0,punctuation_stripped_augmentation,False
そのコーディネート参考になるよ,0,1.0,punctuation_stripped_augmentation,False
その服よく似合ってる,0,1.0,punctuation_stripped_augmentation,False
その柄可愛いね,0,1.0,punctuation_stripped_augmentation,False
その服上品な印象だね,0,1.0,punctuation_stripped_augmentation,False
その服清潔感あっていいね,0,1.0,punctuation_stripped_augmentation,False
その靴機能的でいいね,0,1.0,punctuation_stripped_augmentation,False
その服のセンス真似したいくらい,0,1.0,punctuation_stripped_augmentation,False
その組み合わせバランスいいね,0,1.0,punctuation_stripped_augmentation,False
その服トレンド感あるね,0,1.0,punctuation_stripped_augmentation,False
その訛り直した方がいいよ,1,1.0,punctuation_stripped_augmentation,False
その喋り方田舎丸出しだね,1,1.0,punctuation_stripped_augmentation,False
その方言味があっていいね,0,1.0,punctuation_stripped_augmentation,False
その写真加工した方がいいんじゃない,1,1.0,punctuation_stripped_augmentation,False
その顔写真写りだけは残念だね,1,1.0,punctuation_stripped_augmentation,False
その写真自然体でいいね,0,1.0,punctuation_stripped_augmentation,False
時短勤務家族との時間大事にできていいね,0,1.0,punctuation_stripped_augmentation,False
産休中ゆっくり休んでね,0,1.0,punctuation_stripped_augmentation,False
就職おめでとう頑張ってね,0,1.0,punctuation_stripped_augmentation,False
手当のこと詳しいね助かる,0,1.0,punctuation_stripped_augmentation,False
その資料後で送りますね,0,1.0,punctuation_stripped_augmentation,False
その件確認しておきます,0,1.0,punctuation_stripped_augmentation,False
その方法試してみますね,0,1.0,punctuation_stripped_augmentation,False
その本面白そうだね,0,1.0,punctuation_stripped_augmentation,False
その提案採用しましょう,0,1.0,punctuation_stripped_augmentation,False
その道近道みたいだね,0,1.0,punctuation_stripped_augmentation,False
その店美味しいらしいよ,0,1.0,punctuation_stripped_augmentation,False
その映画観てみたいな,0,1.0,punctuation_stripped_augmentation,False
その計画いいと思う,0,1.0,punctuation_stripped_augmentation,False
その考え方賛成です,0,1.0,punctuation_stripped_augmentation,False
その件ありがとうございました,0,1.0,punctuation_stripped_augmentation,False
その仕事お願いしてもいいですか,0,1.0,punctuation_stripped_augmentation,False
その旅行羨ましいないいなあ,0,1.0,punctuation_stripped_augmentation,False
その環境羨ましいうちもそうだったらいいのに,0,1.0,punctuation_stripped_augmentation,False
その経験羨ましいな憧れる,0,1.0,punctuation_stripped_augmentation,False
その趣味羨ましいな楽しそう,0,1.0,punctuation_stripped_augmentation,False
その休暇羨ましいいいなあ,0,1.0,punctuation_stripped_augmentation,False
その資料明日までにお願いします,0,1.0,punctuation_stripped_augmentation,False
その案良さそうですね,0,1.0,punctuation_stripped_augmentation,False
その音楽好きだな,0,1.0,punctuation_stripped_augmentation,False
